Park Name,Park Code,Code Format,New Code,Visited
Admiral William Standley State Recreation Area,424,0,424,0
Ahjumawi Lava Springs State Park,464,0,464,0
Albany State Marine Reserve,22880,901,901,0
Anderson Marsh State Historic Park,483,0,483,0
Andrew Molera State Park,582,0,582,0
Angel Island State Park,468,0,468,0
Año Nuevo State Park,523,0,523,0
Antelope Valley California Poppy Reserve State Natural Reserve,627,0,627,0
Antelope Valley Indian Museum State Historic Park,632,0,632,0
Anza-Borrego Desert State Park,638,0,638,0
Armstrong Redwoods State Natural Reserve,450,0,450,0
Arthur B. Ripley Desert Woodland State Park,634,0,634,0
Asilomar State Beach,566,0,566,0
Auburn State Recreation Area,502,0,502,0
Austin Creek State Recreation Area,452,0,452,0
Azalea State Natural Reserve,420,0,420,0
Bale Grist Mill State Historic Park,482,0,482,0
Bean Hollow State Beach,527,0,527,1
Benbow State Recreation Area,426,0,426,0
Benicia State Recreation Area,476,0,476,0
Benicia Capitol State Historic Park,475,0,475,0
Bethany Reservoir State Recreation Area,562,0,562,1
Bidwell Mansion State Historic Park,460,0,460,1
Bidwell-Sacramento River State Park,463,0,463,0
Big Basin Redwoods State Park,540,0,540,0
Bodie State Historic Park,509,0,509,0
Bolsa Chica State Beach,642,0,642,0
Border Field State Park,664,0,664,0
Bothe-Napa Valley State Park,477,0,477,0
Brannan Island State Recreation Area,487,0,487,1
Burleigh H. Murray Ranch Park Property,535,0,535,1
Burton Creek State Park,512,0,512,0
Butano State Park,536,0,536,0
Butte City Project Park Property,25601,902,902,0
Calaveras Big Trees State Park,551,0,551,0
California Citrus State Historic Park,649,0,649,0
California Indian Heritage Center Park Property,22628,903,903,0
California State Capitol Museum,495,0,495,0
California State Mining and Mineral Museum Park Property,588,0,588,0
California State Railroad Museum Point of Interest,668,0,668,0
Cambria State Marine Park,27712,904,904,0
Candlestick Point State Recreation Area,519,0,519,0
Cardiff State Beach,656,0,656,0
Carmel River State Beach,567,0,567,1
Carnegie State Vehicular Recreation Area,410,0,410,0
Carpinteria State Beach,599,0,599,0
Caspar Headlands State Natural Reserve,444,0,444,0
Caspar Headlands State Beach,445,0,445,0
Castaic Lake State Recreation Area,628,0,628,0
Castle Crags State Park,454,0,454,1
Castle Rock State Park,538,0,538,1
Caswell Memorial State Park,557,0,557,0
Cayucos State Beach,596,0,596,0
China Camp State Park,466,0,466,0
Chino Hills State Park,648,0,648,0
Chumash Painted Cave State Historic Park,602,0,602,0
Clay Pit State Vehicular Recreation Area,409,0,409,1
Clear Lake State Park,473,0,473,0
Colonel Allensworth State Historic Park,583,0,583,0
Columbia State Historic Park,552,0,552,0
Colusa-Sacramento River State Recreation Area,461,0,461,1
Corona del Mar State Beach,652,0,652,0
Crystal Cove State Park,644,0,644,0
Cuyamaca Rancho State Park,667,0,667,0
D. L. Bliss State Park,505,0,505,0
Del Norte Coast Redwoods State Park,414,0,414,0
Delta Meadows Park Property,492,0,492,0
Dockweiler State Beach,617,0,617,0
Doheny State Beach,645,0,645,0
Donner Memorial State Park,503,0,503,0
Eastern Kern County Onyx Ranch State Vehicular Recreation Area,28617,905,905,0
Ed Z'berg Sugar Pine Point State Park,510,0,510,0
El Capitán State Beach,601,0,601,0
El Presidio de Santa Barbara State Historic Park,608,0,608,0
Emerald Bay State Park,506,0,506,0
Emeryville Crescent State Marine Reserve,22881,906,906,0
Emma Wood State Beach,604,0,604,0
Empire Mine State Historic Park,499,0,499,1
Estero Bluffs State Park,22263,907,907,0
Folsom Lake State Recreation Area,500,0,500,0
Folsom Powerhouse State Historic Park,501,0,501,0
Fort Humboldt State Historic Park,665,0,665,0
Fort Ord Dunes State Park,580,0,580,0
